,TRTALONE,year
210934,220,2020
210935,223,2020
210936,0,2020
210937,690,2020
210938,265,2020
210939,322,2020
210940,30,2020
210941,632,2020
210942,615,2020
210943,0,2020
210944,462,2020
210945,17,2020
210946,60,2020
210947,380,2020
210948,0,2020
210949,120,2020
210950,525,2020
210951,380,2020
210952,420,2020
210953,60,2020
210954,105,2020
210955,325,2020
210956,205,2020
210957,570,2020
210958,90,2020
210959,120,2020
210960,535,2020
210961,485,2020
210962,234,2020
210963,225,2020
210964,80,2020
210965,440,2020
210966,570,2020
210967,960,2020
210968,30,2020
210969,245,2020
210970,575,2020
210971,600,2020
210972,215,2020
210973,945,2020
210974,185,2020
210975,345,2020
210976,533,2020
210977,235,2020
210978,30,2020
210979,885,2020
210980,65,2020
210981,400,2020
210982,53,2020
210983,870,2020
210984,138,2020
210985,840,2020
210986,345,2020
210987,200,2020
210988,465,2020
210989,180,2020
210990,515,2020
210991,550,2020
210992,94,2020
210993,185,2020
210994,495,2020
210995,30,2020
210996,505,2020
210997,201,2020
210998,760,2020
210999,645,2020
211000,540,2020
211001,100,2020
211002,395,2020
211003,870,2020
211004,120,2020
211005,0,2020
211006,392,2020
211007,680,2020
211008,70,2020
211009,212,2020
211010,185,2020
211011,840,2020
211012,90,2020
211013,630,2020
211014,160,2020
211015,60,2020
211016,260,2020
211017,182,2020
211018,65,2020
211019,775,2020
211020,50,2020
211021,70,2020
211022,127,2020
211023,530,2020
211024,175,2020
211025,155,2020
211026,585,2020
211027,0,2020
211028,20,2020
211029,17,2020
211030,115,2020
211031,330,2020
211032,215,2020
211033,170,2020
211034,790,2020
211035,780,2020
211036,115,2020
211037,125,2020
211038,595,2020
211039,499,2020
211040,660,2020
211041,510,2020
211042,500,2020
211043,695,2020
211044,622,2020
211045,450,2020
211046,0,2020
211047,595,2020
211048,87,2020
211049,765,2020
211050,125,2020
211051,455,2020
211052,750,2020
211053,169,2020
211054,780,2020
211055,135,2020
211056,690,2020
211057,90,2020
211058,740,2020
211059,20,2020
211060,780,2020
211061,705,2020
211062,30,2020
211063,230,2020
211064,100,2020
211065,940,2020
211066,450,2020
211067,90,2020
211068,365,2020
211069,0,2020
211070,720,2020
211071,168,2020
211072,25,2020
211073,300,2020
211074,0,2020
211075,269,2020
211076,110,2020
211077,0,2020
211078,40,2020
211079,477,2020
211080,125,2020
211081,196,2020
211082,405,2020
211083,570,2020
211084,330,2020
211085,0,2020
211086,185,2020
211087,210,2020
211088,844,2020
211089,315,2020
211090,350,2020
211091,117,2020
211092,0,2020
211093,0,2020
211094,210,2020
211095,519,2020
211096,472,2020
211097,430,2020
211098,130,2020
211099,331,2020
211100,401,2020
211101,555,2020
211102,609,2020
211103,450,2020
211104,295,2020
211105,0,2020
211106,201,2020
211107,505,2020
211108,0,2020
211109,447,2020
211110,305,2020
211111,400,2020
211112,255,2020
211113,235,2020
211114,235,2020
211115,115,2020
211116,930,2020
211117,120,2020
211118,690,2020
211119,1080,2020
211120,90,2020
211121,30,2020
211122,250,2020
211123,900,2020
211124,405,2020
211125,360,2020
211126,1115,2020
211127,618,2020
211128,930,2020
211129,660,2020
211130,840,2020
211131,300,2020
211132,400,2020
211133,103,2020
211134,271,2020
211135,825,2020
211136,450,2020
211137,710,2020
211138,268,2020
211139,150,2020
211140,0,2020
211141,665,2020
211142,20,2020
211143,105,2020
211144,725,2020
211145,185,2020
211146,0,2020
211147,345,2020
211148,130,2020
211149,495,2020
211150,60,2020
211151,125,2020
211152,820,2020
211153,640,2020
211154,270,2020
211155,520,2020
211156,500,2020
211157,471,2020
211158,840,2020
211159,460,2020
211160,795,2020
211161,1080,2020
211162,270,2020
211163,140,2020
211164,0,2020
211165,0,2020
211166,521,2020
211167,510,2020
211168,205,2020
211169,365,2020
211170,105,2020
211171,842,2020
211172,60,2020
211173,720,2020
211174,375,2020
211175,750,2020
211176,445,2020
211177,300,2020
211178,0,2020
211179,30,2020
211180,1060,2020
211181,746,2020
211182,60,2020
211183,370,2020
211184,95,2020
211185,287,2020
211186,62,2020
211187,80,2020
211188,875,2020
211189,275,2020
211190,580,2020
211191,55,2020
211192,25,2020
211193,260,2020
211194,380,2020
211195,495,2020
211196,405,2020
